antecedent,consequent,support,confidence,lift,count
pork,soda,0.003007418298469558,0.08108108108108109,0.8349733077881737,45
whipped/sour cream,tropical fruit,0.0024727661565194146,0.05657492354740061,0.8348427820904886,37
sliced cheese,soda,0.0011361358016440553,0.08095238095238096,0.8336479533313671,17
margarine,soda,0.0026064291920069507,0.08091286307053942,0.8332409980209783,39
meat,whole milk,0.002205440085544343,0.13095238095238096,0.8292172984301636,33
white bread,whole milk,0.003141081333957094,0.1309192200557103,0.829007316840285,47
pip fruit,soda,0.00394305954688231,0.08038147138964577,0.8277687242968134,59
yogurt,rolls/buns,0.007819287576020852,0.09105058365758754,0.8276973774413624,117
rolls/buns,yogurt,0.007819287576020852,0.07108140947752126,0.8276973774413623,117
bottled beer,tropical fruit,0.0025395976742631824,0.05604719764011799,0.82705544209969,38
hamburger meat,other vegetables,0.002205440085544343,0.10091743119266056,0.8265065806982922,33
pip fruit,other vegetables,0.004945532313038829,0.1008174386920981,0.8256876492336419,74
UHT-milk,bottled water,0.0010693042839002875,0.05,0.8239537444933921,16
oil,whole milk,0.0019381140145692708,0.13004484304932734,0.8234705825421436,29
bottled water,root vegetables,0.0034752389226759338,0.05726872246696035,0.8231622423372985,52
yogurt,whole milk,0.011160863463209249,0.12996108949416343,0.8229402378760761,167
whole milk,yogurt,0.011160863463209249,0.07067287346593314,0.8229402378760758,167
tropical fruit,soda,0.005413352937245205,0.07988165680473373,0.822621631637461,81
soda,tropical fruit,0.005413352937245205,0.055746730901582935,0.822621631637461,81
butter milk,soda,0.001403461872619127,0.07984790874524715,0.8222740939815094,21
cat food,rolls/buns,0.0010693042839002875,0.0903954802259887,0.8217421449705158,16
fruit/vegetable juice,whole milk,0.004410880171088686,0.12966601178781925,0.8210717454003976,66
curd,tropical fruit,0.001871282496825503,0.05555555555555555,0.8198005698005698,28
butter milk,root vegetables,0.0010024727661565194,0.057034220532319393,0.8197915867676225,15
UHT-milk,other vegetables,0.002138608567800575,0.1,0.818992884510126,32
sliced cheese,other vegetables,0.001403461872619127,0.1,0.818992884510126,21
salty snack,root vegetables,0.0010693042839002875,0.05693950177935943,0.8184301298026465,16
butter,root vegetables,0.002004945532313039,0.056925996204933584,0.8182360050090501,30
soda,other vegetables,0.009690570072846355,0.09979353062629043,0.8173019150307519,145
other vegetables,soda,0.009690570072846355,0.07936507936507936,0.8173019150307519,145
bottled water,soda,0.0048118692775512934,0.07929515418502203,0.8165818252377735,72
ice cream,soda,0.0012029673193878234,0.07929515418502203,0.8165818252377735,18
sausage,other vegetables,0.006014836596939116,0.09966777408637874,0.816271977917069,90
rolls/buns,tropical fruit,0.006081668114682885,0.05528554070473876,0.8158161198865939,91
tropical fruit,rolls/buns,0.006081668114682885,0.08974358974358974,0.8158161198865937,91
canned beer,rolls/buns,0.004210385617857381,0.08974358974358974,0.8158161198865937,63
margarine,other vegetables,0.003207912851700862,0.0995850622406639,0.8155945737860174,48
oil,rolls/buns,0.0013366303548753592,0.08968609865470852,0.8152934958507919,20
whipped/sour cream,root vegetables,0.0024727661565194146,0.05657492354740061,0.8131897992696977,37
pastry,yogurt,0.00360890195816347,0.06976744186046512,0.81239706813863,54
canned beer,whole milk,0.006014836596939116,0.1282051282051282,0.8118211313302299,90
pot plants,whole milk,0.0010024727661565194,0.1282051282051282,0.8118211313302299,15
pastry,soda,0.0040767225823698456,0.07881136950904392,0.8115998086468165,61
white bread,rolls/buns,0.002138608567800575,0.08913649025069638,0.8102972682996172,32
ice cream,whole milk,0.0019381140145692708,0.1277533039647577,0.808960087695586,29
brown bread,rolls/buns,0.003341575887188398,0.08880994671403197,0.8073288169392834,50
hamburger meat,rolls/buns,0.0019381140145692708,0.08868501529051988,0.8061931250255462,29
hard cheese,whole milk,0.001871282496825503,0.12727272727272726,0.8059169776478282,28
coffee,soda,0.0024727661565194146,0.07822410147991543,0.805552120057794,37
sausage,rolls/buns,0.005346521419501437,0.08859357696567,0.8053619028780803,80
bottled beer,rolls/buns,0.004009891064626078,0.08849557522123894,0.8044710158173743,60
rolls/buns,whole milk,0.013967787208447505,0.12697448359659783,0.8040284376030019,209
whole milk,rolls/buns,0.013967787208447505,0.08844688954718578,0.8040284376030018,209
hygiene articles,soda,0.0010693042839002875,0.07804878048780488,0.8037466637570713,16
hygiene articles,whole milk,0.0017376194613379669,0.12682926829268293,0.8031089045549787,26
whipped/sour cream,soda,0.003408407404932166,0.0779816513761468,0.8030553678880141,51
margarine,whole milk,0.0040767225823698456,0.12655601659751037,0.8013786188525382,61
pastry,tropical fruit,0.002806923745238254,0.05426356589147287,0.8007354402703241,42
citrus fruit,rolls/buns,0.004678206242063757,0.0880503144654088,0.8004233629076014,70
canned beer,tropical fruit,0.0025395976742631824,0.05413105413105413,0.7987800423697861,38
pastry,root vegetables,0.0028737552629820224,0.05555555555555555,0.7985377308143877,43
citrus fruit,tropical fruit,0.0028737552629820224,0.05408805031446541,0.7981454604096114,43
frozen meals,rolls/buns,0.0014702933903628951,0.08764940239043825,0.7967788626780848,22
sausage,root vegetables,0.003341575887188398,0.05537098560354374,0.7958847815425791,50
pastry,whole milk,0.006482657221145492,0.12532299741602068,0.7935708888429613,97
napkins,other vegetables,0.002138608567800575,0.09667673716012085,0.7917755983179465,32
chocolate,yogurt,0.001603956425850431,0.0679886685552408,0.7916843950132826,24
chicken,soda,0.002138608567800575,0.07673860911270983,0.7902545135261371,32
cream cheese ,yogurt,0.001603956425850431,0.06779661016949153,0.7894479984171997,24
chocolate,whole milk,0.0029405867807257902,0.12464589235127478,0.789283320885368,44
salty snack,tropical fruit,0.0010024727661565194,0.05338078291814947,0.7877087325485903,15
waffles,rolls/buns,0.001603956425850431,0.08664259927797834,0.7876264963526063,24
hamburger meat,soda,0.001670787943594199,0.0764525993883792,0.7873091842039354,25
brown bread,soda,0.0028737552629820224,0.0763765541740675,0.7865260702729333,43
rolls/buns,other vegetables,0.010559379803515338,0.0959902794653706,0.7861535586427697,158
other vegetables,rolls/buns,0.010559379803515338,0.08648056923918993,0.7861535586427697,158
curd,yogurt,0.0022722716032881106,0.06746031746031746,0.7855320857266382,34
bottled beer,root vegetables,0.0024727661565194146,0.05457227138643068,0.7844043196495314,37
whipped/sour cream,yogurt,0.0029405867807257902,0.0672782874617737,0.7834124632611049,44
pip fruit,root vegetables,0.0026732607097507185,0.05449591280653951,0.7833067659214703,40
frankfurter,yogurt,0.0025395976742631824,0.06725663716814159,0.783160359491753,38
specialty bar,rolls/buns,0.0012029673193878234,0.0861244019138756,0.7829158115658085,18
domestic eggs,other vegetables,0.003542070440419702,0.09549549549549549,0.7821013131357959,53
long life bakery product,yogurt,0.0012029673193878234,0.06716417910447761,0.7820837447006214,18
root vegetables,soda,0.005279689901757669,0.07588856868395773,0.7815007936807017,79
soda,root vegetables,0.005279689901757669,0.05437026841018582,0.7815007936807017,79
onions,rolls/buns,0.0017376194613379669,0.0858085808580858,0.7800448331588931,26
root vegetables,tropical fruit,0.0036757334759072377,0.052833813640730067,0.7796374294933374,55
tropical fruit,root vegetables,0.0036757334759072377,0.054240631163708086,0.7796374294933373,55
curd,whole milk,0.004143554100113613,0.12301587301587301,0.7789617045859111,62
domestic eggs,root vegetables,0.002004945532313039,0.05405405405405406,0.7769556299815665,30
